Dimension;Algorithm;Cost;Time[ms]
10;BB_LC;139;0.089
11;BB_LC;149;0.198
11;BB_LC;149;3.275
11;BB_LC;149;3.227
11;BB_LC;149;18.388
11;BB_LC;161;30.971
11;BB_LC;140;2.919
11;BB_DFS_REC;127;1.161
12;BB_DFS_REC;189;38.933
13;BB_DFS_REC;165;27.700
14;BB_DFS_REC;140;52.064
15;BB_DFS_REC;166;223.008
16;BB_DFS_REC;121;347.074
17;BB_DFS_REC;144;468.488
18;BB_DFS_REC;195;22303.821
19;BB_DFS_REC;191;18948.555
20;BB_DFS_REC;142;27211.164
21;BB_DFS_REC;214;525996.154
22;BB_DFS_REC;182;631110.299
23;BB_DFS_REC;208;792349.074
12;BB_BFS;254;27210.380
12;BB_BFS;219;24639.927
12;BB_BFS;219;196.565
12;BB_DFS_REC;219;29.847
12;BB_DFS_REC;219;22.884
12;BB_LC;219;8750.623
12;BB_LC;219;8317.715
12;BB_BFS;159;25001.580
12;BB_BFS;159;9.856
12;BB_DFS_REC;159;7.278
12;BB_DFS_REC;159;6.280
12;BB_LC;159;785.463
12;BB_LC;159;274.707
12;BB_BFS;253;25052.900
12;BB_BFS;253;251.403
12;BB_DFS_REC;253;99.127
12;BB_DFS_REC;253;107.807
12;BB_LC;253;203325.371
12;BB_LC;253;153711.573
12;BB_BFS;186;28782.053
12;BB_BFS;186;17.503
12;BB_DFS_REC;186;31.732
12;BB_DFS_REC;186;14.765
12;BB_LC;186;10701.832
12;BB_LC;186;2028.472
12;BB_BFS;170;24581.268
12;BB_BFS;170;29.437
12;BB_DFS_REC;170;13.518
12;BB_DFS_REC;170;9.377
12;BB_LC;170;1565.525
12;BB_LC;170;954.908
12;BB_BFS;203;24126.218
12;BB_BFS;203;58.831
12;BB_DFS_REC;203;30.683
12;BB_DFS_REC;203;27.740
12;BB_LC;203;55935.567
12;BB_LC;203;18778.569
12;BB_BFS;258;24700.743
12;BB_BFS;258;161.446
12;BB_DFS_REC;258;132.612
12;BB_DFS_REC;258;105.105
12;BB_LC;258;602523.453
12;BB_LC;258;174517.619
12;BB_BFS;139;25952.543
12;BB_BFS;139;3.931
12;BB_DFS_REC;139;7.487
12;BB_DFS_REC;139;3.447
12;BB_LC;139;558.996
12;BB_LC;139;71.874
12;BB_BFS;223;27961.766
12;BB_BFS;223;89.792
12;BB_DFS_REC;223;54.886
12;BB_DFS_REC;223;36.571
12;BB_LC;223;156418.825
12;BB_LC;223;42188.923
12;BB_BFS;199;26718.369
12;BB_BFS;199;79.852
12;BB_DFS_REC;199;25.382
12;BB_DFS_REC;199;22.954
12;BB_LC;199;28773.845
12;BB_LC;199;13458.765
14;BB_BFS;154;288.876
14;BB_DFS_REC;154;93.475
14;BB_DFS_REC;154;69.445
14;BB_LC;154;239031.196
14;BB_LC;154;70332.469
7;BB_BFS;179;0.532
7;BB_BFS;179;0.138
7;BB_DFS_REC;179;0.127
7;BB_DFS_REC;179;0.435
7;BB_LC;179;0.259
7;BB_LC;179;0.255
7;BB_BFS;156;0.355
7;BB_BFS;156;0.054
7;BB_DFS_REC;156;0.054
7;BB_DFS_REC;156;0.047
7;BB_LC;156;0.108
7;BB_LC;156;0.073
7;BB_BFS;249;0.344
7;BB_BFS;249;0.114
7;BB_DFS_REC;249;0.094
7;BB_DFS_REC;249;0.088
7;BB_LC;249;0.340
7;BB_LC;249;0.224
7;BB_BFS;171;0.354
7;BB_BFS;171;0.118
7;BB_DFS_REC;171;0.092
7;BB_DFS_REC;171;0.092
7;BB_LC;171;0.569
7;BB_LC;171;0.198
7;BB_BFS;162;0.361
7;BB_BFS;162;0.067
7;BB_DFS_REC;162;0.066
7;BB_DFS_REC;162;0.118
7;BB_LC;162;0.097
7;BB_LC;162;0.090
8;BB_BFS;143;2.280
8;BB_BFS;143;0.500
8;BB_DFS_REC;143;0.359
8;BB_DFS_REC;143;0.269
8;BB_LC;143;1.604
8;BB_LC;143;1.699
8;BB_BFS;271;2.065
8;BB_BFS;271;0.487
8;BB_DFS_REC;271;0.362
8;BB_DFS_REC;271;0.842
8;BB_LC;271;2.819
8;BB_LC;271;2.160
8;BB_BFS;231;3.797
8;BB_BFS;231;0.355
8;BB_DFS_REC;231;0.333
8;BB_DFS_REC;231;0.254
8;BB_LC;231;1.575
8;BB_LC;231;0.960
8;BB_BFS;120;2.659
8;BB_BFS;120;0.318
8;BB_DFS_REC;120;0.309
8;BB_DFS_REC;120;0.220
8;BB_LC;120;1.108
8;BB_LC;120;0.838
8;BB_BFS;213;2.867
8;BB_BFS;213;0.558
8;BB_DFS_REC;213;0.303
8;BB_DFS_REC;213;0.270
8;BB_LC;213;2.174
8;BB_LC;213;1.357
9;BB_BFS;245;23.712
9;BB_BFS;245;1.460
9;BB_DFS_REC;245;1.296
9;BB_DFS_REC;245;1.409
9;BB_LC;245;34.562
9;BB_LC;245;19.521
9;BB_BFS;119;22.185
9;BB_BFS;119;0.263
9;BB_DFS_REC;119;0.468
9;BB_DFS_REC;119;0.220
9;BB_LC;119;1.466
9;BB_LC;119;0.503
9;BB_BFS;199;22.106
9;BB_BFS;199;0.731
9;BB_DFS_REC;199;1.573
9;BB_DFS_REC;199;0.647
9;BB_LC;199;6.639
9;BB_LC;199;4.886
9;BB_BFS;213;22.917
9;BB_BFS;213;0.772
9;BB_DFS_REC;213;1.345
9;BB_DFS_REC;213;0.573
9;BB_LC;213;13.564
9;BB_LC;213;4.274
9;BB_BFS;131;23.502
9;BB_BFS;131;0.636
9;BB_DFS_REC;131;1.110
9;BB_DFS_REC;131;0.493
9;BB_LC;131;3.124
9;BB_LC;131;2.970
10;BB_BFS;175;222.477
10;BB_BFS;175;6.339
10;BB_DFS_REC;175;3.697
10;BB_DFS_REC;175;2.913
10;BB_LC;175;82.800
10;BB_LC;175;85.187
10;BB_BFS;181;219.424
10;BB_BFS;181;6.284
10;BB_DFS_REC;181;3.238
10;BB_DFS_REC;181;2.667
10;BB_LC;181;74.119
10;BB_LC;181;60.307
10;BB_BFS;171;221.436
10;BB_BFS;171;1.248
10;BB_DFS_REC;171;1.459
10;BB_DFS_REC;171;0.760
10;BB_LC;171;20.958
10;BB_LC;171;7.729
10;BB_BFS;238;220.592
